Keyword,Country,Difficulty,Volume,CPC,Clicks,CPS,Return Rate,Parent Keyword,Last Update,SERP Features
info meaning,gb,4,150,0,54,NA,1.11,info meaning,2020-04-28 02:17:15,"Knowledge card, People also ask, Videos"
who is website,gb,95,150,0.8,202,NA,1.12,whois,2020-04-22 17:23:17,Sitelinks
according to meaning,gb,9,150,Other,14,NA,1.13,according,2020-04-17 21:30:15,"Featured snippet, People also ask"
learn digital marketing,gb,49,150,11,90,NA,1.13,digital,2020-04-30 23:50:55,"Adwords top, Featured snippet, Sitelinks, People also ask, Top stories, Thumbnails, Adwords bottom"
the who com,gb,75,150,1.2,Other,NA,NaN,the who,2020-04-29 03:17:16,"Sitelinks, Tweet box, Top stories, Thumbnails"
media-marketing,gb,84,150,6,Other,NA,NaN,social media marketing,2020-05-04 09:37:45,"Featured snippet, Thumbnails"
strategy internet marketing,gb,68,150,8,Other,NA,NaN,strategy internet marketing,2020-04-29 08:17:15,"Featured snippet, Thumbnails, People also ask"
online marketing strategies,gb,56,150,7,109,NA,1.62,online marketing,2020-04-27 14:54:17,"Featured snippet, Thumbnails, People also ask, Top stories, Image pack"
why digital marketing,gb,63,150,0,102,NA,1.05,digital marketing,2020-05-01 08:08:36,"Featured snippet, Thumbnails, People also ask, Sitelinks, Top stories"
who's definition,gb,2,150,Other,21,NA,1.13,who 's,2020-04-27 02:58:15,"Knowledge card, People also ask"
why is digital marketing important,gb,43,150,Other,131,NA,1.2,role of digital marketing,2020-04-18 11:24:52,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask"
digital and social media marketing,gb,42,150,4,Other,NA,NaN,types of digital marketing,2020-04-26 13:14:20,"Adwords top, Sitelinks, Featured snippet, People also ask, Adwords bottom"
search marketing agency,gb,51,150,25,Other,NA,NaN,search marketing agency,2020-04-24 18:47:07,"Adwords top, Sitelinks, Adwords bottom"
methods digital,gb,0,150,0,166,NA,1.5,methods,2020-04-25 00:22:36,Sitelinks
digital market,gb,83,150,30,78,NA,1.32,digital marketplace,2020-04-24 15:59:15,"Sitelinks, People also ask, Top stories, Thumbnails"
advertising agencies near me,gb,32,150,4,Other,NA,NaN,advertising agencies near me,2020-05-08 16:46:06,People also ask
role of digital marketing,gb,39,150,2.5,Other,NA,NaN,role of digital marketing,2020-04-16 00:32:32,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask"
digital media companies,gb,25,150,4,162,NA,1.43,american internet and media company,2020-04-29 08:37:33,"Featured snippet, People also ask"
social media company,gb,35,150,8,113,NA,1.26,social media marketing agency,2020-04-29 14:51:36,"People also ask, Image pack"
whowhatwhy,gb,17,150,0,Other,NA,NaN,whowhatwhy,2020-04-25 19:07:23,"Sitelinks, Tweet box, Top stories, Thumbnails, Image pack, Videos"
london marketing agency,gb,39,150,6,Other,NA,NaN,digital agency,2020-04-30 19:16:09,Sitelinks
website meaning,gb,49,150,1.1,18,NA,1.08,website - definition,2020-04-25 14:15:39,"Knowledge card, People also ask, Sitelinks"
full service agency,gb,5,150,4,Other,NA,NaN,full service agency,2020-04-23 15:34:16,"Adwords top, Sitelinks, People also ask, Adwords bottom"
content marketing agency london,gb,36,150,16,Other,NA,NaN,content marketing agency,2020-04-30 01:56:51,"Featured snippet, Sitelinks"
media companies near me,gb,29,150,2,184,NA,1.43,social media management,2020-04-17 08:51:38,NaN
marketing work,gb,23,100,3,Other,NA,NaN,marketing executive,2020-04-15 22:12:02,"Featured snippet, Thumbnails, People also ask, Sitelinks, Top stories, Image pack, Adwords bottom"
huspot,gb,67,100,Other,62,NA,1,hubspot,2020-04-28 22:51:53,"Adwords top, Sitelinks, Top stories, Thumbnails, People also ask, Tweet box, Image pack"
online marketing services,gb,26,100,7,Other,NA,NaN,digital marketing services,2020-04-26 10:57:52,"Adwords top, Sitelinks, People also ask, Adwords bottom"
content marketing companies,gb,10,100,Other,Other,NA,NaN,content marketing agency,2020-04-18 15:20:02,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask, Adwords bottom"
what is digital advertising,gb,12,100,1.8,99,NA,1.29,what is digital advertising,2020-05-08 01:19:59,"People also ask, Sitelinks, Top stories, Thumbnails"
digital marketing solutions,gb,39,100,7,64,NA,1.17,digital marketing solutions,2020-04-17 01:45:34,"Adwords top, Sitelinks, Featured snippet, People also ask, Adwords bottom"
definition of digital marketing,gb,66,100,0,102,NA,1.35,digital marketing,2020-04-21 08:06:04,"Sitelinks, People also ask, Top stories, Thumbnails"
define digital marketing,gb,64,100,0,65,NA,1.22,digital marketing,2020-04-26 19:21:19,"Adwords top, People also ask, Sitelinks, Top stories, Thumbnails"
what does comprise mean,gb,14,100,0,7,NA,1.1,comprise,2020-04-23 01:17:28,"Knowledge card, People also ask, Top stories, Thumbnails"
hubspot marketing blog,gb,79,100,0,Other,NA,NaN,marketing blog,2020-04-17 04:19:42,"Sitelinks, Image pack"
online marketing london,gb,41,100,1,Other,NA,NaN,online marketing london,2020-04-23 10:40:58,NaN
search marketing company,gb,71,100,12,Other,NA,NaN,digital marketing agency,2020-05-10 03:55:11,NaN
ppc online,gb,71,100,13,72,NA,1.19,nhs prepayment card,2020-04-28 12:36:43,"People also ask, Top stories, Thumbnails"
meaning of create,gb,15,100,Other,Other,NA,NaN,create,2020-05-03 07:08:20,"Knowledge card, People also ask"
why work in digital marketing,gb,0,100,0,157,NA,1.67,why work in digital marketing,2020-04-28 15:00:24,"Featured snippet, Thumbnails, People also ask"
digital marketing companies in uk,gb,56,100,14,Other,NA,NaN,digital marketing agency,2020-05-04 10:38:02,"Featured snippet, Adwords bottom, Sitelinks"
like digital,gb,1,100,Other,86,NA,1.32,like digital,2020-05-06 07:16:55,"Sitelinks, Image pack, Top stories, Thumbnails"
how to get into digital marketing,gb,5,100,12,131,NA,1.22,how to get into marketing,2020-04-23 13:33:47,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask, Top stories"
digital company,gb,46,100,4.5,Other,NA,NaN,top it companies,2020-05-08 13:31:18,"Top stories, Thumbnails, People also ask"
online marketing strategy,gb,62,100,6,Other,NA,NaN,strategy internet marketing,2020-04-18 10:01:05,"Adwords top, Sitelinks, Featured snippet, People also ask, Top stories, Thumbnails, Image pack"
online marketing business,gb,56,100,8,Other,NA,NaN,marketing agency,2020-05-05 22:21:52,"People also ask, Top stories, Thumbnails"
marketing agency essex,gb,47,100,3.5,Other,NA,NaN,revive digital media,2020-05-05 18:36:36,NaN
social media companies london,gb,17,100,8,Other,NA,NaN,social media marketing agency,2020-04-23 19:06:43,"Adwords top, Sitelinks, Featured snippet, Adwords bottom"
define services,gb,13,100,Other,Other,NA,NaN,service's,2020-05-05 23:20:15,"Knowledge card, People also ask, Sitelinks, Top stories, Thumbnails"
definition of a business,gb,65,100,0,Other,NA,NaN,business definition,2020-05-05 22:14:51,"Knowledge card, People also ask, Sitelinks, Videos"
top digital marketing agencies,gb,24,100,14,Other,NA,NaN,marketing agency,2020-04-14 06:42:38,"Sitelinks, People also ask"
digital marketing platforms,gb,73,100,5,98,NA,1.17,digital marketing platforms,2020-05-04 01:48:16,"Featured snippet, Thumbnails, People also ask, Sitelinks"
definition of digital,gb,34,100,0,Other,NA,NaN,digital,2020-04-19 23:09:45,"Knowledge card, People also ask"
online marketing companies,gb,48,100,25,Other,NA,NaN,digital marketing agency,2020-04-18 10:50:21,"Featured snippet, People also ask"
business define,gb,64,100,Other,45,NA,1.11,business definition,2020-04-24 22:00:55,"Knowledge card, People also ask, Sitelinks, Top stories, Thumbnails"
social media advertising agency,gb,7,100,13,Other,NA,NaN,social media advertising,2020-05-08 20:20:04,"Adwords top, Sitelinks, Adwords bottom"
digital marketing roles,gb,12,100,4,63,NA,1.09,digital marketing job description,2020-05-01 03:10:23,"Featured snippet, Thumbnails, People also ask, Sitelinks"
importance of digital marketing,gb,40,100,4.5,100,NA,1.17,role of digital marketing,2020-04-24 13:52:05,"Adwords top, Featured snippet, Thumbnails, People also ask"
key-digital,gb,4,100,Other,Other,NA,NaN,key digital,2020-05-03 04:46:31,"Adwords top, Sitelinks, Top stories, Thumbnails"
digital marketing uk,gb,56,100,7,72,NA,1.14,digital marketing agency,2020-05-05 05:17:18,"Adwords bottom, Sitelinks"
caost,gb,42,100,0.2,89,NA,1.14,coast,2020-04-20 13:12:03,"Sitelinks, People also ask, Image pack, Top stories, Thumbnails"
digital marketing agency uk,gb,56,100,14,155,NA,1.43,digital marketing agency,2020-04-25 20:13:55,NaN
top digital marketing agencies london,gb,22,100,14,211,NA,1.29,digital marketing agency,2020-05-04 19:50:10,NaN
